UNIPROT,Category of binding
O43482,Ambiguous
P20585,Ambiguous
Q9BTC8,Ambiguous
P42898,Ambiguous
Q14764,Ambiguous
Q99417,Ambiguous
P35580,Ambiguous
P14649,Ambiguous
O43795,Ambiguous
Q9Y4I1,Ambiguous
P52179,Ambiguous
O14974,Ambiguous
Q8WVE0,Ambiguous
P61599,Ambiguous
Q6IA69,Ambiguous
Q9BTE0,Ambiguous
Q7L1T6,Ambiguous
Q8NFP9,Ambiguous
Q6ZS30,Ambiguous
Q8NI08,Ambiguous
P19404,Ambiguous
Q969S2,Ambiguous
O60524,Ambiguous
Q9UMX5,Ambiguous
Q13469,Ambiguous
Q96IV0,Ambiguous
Q9BZQ8,Ambiguous
Q86WB0,Ambiguous
Q9Y2I1,Ambiguous
Q04721,Ambiguous
P61916,Ambiguous
Q9NSY0,Ambiguous
Q9NWW6,Ambiguous
Q9Y6Y0,Ambiguous
Q8WV22,Ambiguous
Q96AB6,Ambiguous
Q96HA8,Ambiguous
Q02818,Ambiguous
P80303,Ambiguous
Q9BQG2,Ambiguous
O95848,Ambiguous
Q9BRQ3,Ambiguous
Q5VST9,Ambiguous
O75147,Ambiguous
Q9Y5N6,Ambiguous
Q9H1P3,Ambiguous
Q969R2,Ambiguous
Q6GQQ9,Ambiguous
O43422,Ambiguous
Q86YP4,Ambiguous
Q86VP3,Ambiguous
Q15004,Ambiguous
Q13153,Ambiguous
Q9BZ23,Ambiguous
Q460N5,Ambiguous
Q86W56,Ambiguous
P09874,Ambiguous
Q9NVD7,Ambiguous
Q8NF37,Ambiguous
P05165,Ambiguous
O14917,Ambiguous
Q9H4Z3,Ambiguous
P42785,Ambiguous
Q8NB37,Ambiguous
O60658,Ambiguous
Q96JY6,Ambiguous
Q53GG5,Ambiguous
Q29RF7,Ambiguous
Q15121,Ambiguous
O60437,Ambiguous
Q7RTV0,Ambiguous
Q8IWS0,Ambiguous
O60346,Ambiguous
Q6ZVD8,Ambiguous
P61457,Ambiguous
P78356,Ambiguous
Q8WXW3,Ambiguous
P37287,Ambiguous
Q9Y237,Ambiguous
Q9UKF7,Ambiguous
P42338,Ambiguous
Q9HB19,Ambiguous
Q96S99,Ambiguous
Q8IWE5,Ambiguous
P16885,Ambiguous
Q8IV08,Ambiguous
Q9NYT0,Ambiguous
Q92871,Ambiguous
P54278,Ambiguous
Q9Y244,Ambiguous
P0CG39,Ambiguous
Q9BZL4,Ambiguous
P16298,Ambiguous
P48454,Ambiguous
P10619,Ambiguous
Q96BP3,Ambiguous
Q5THK1,Ambiguous
P35080,Ambiguous
Q16378,Ambiguous
Q9NYI0,Ambiguous
Q9BRX5,Ambiguous
Q7Z6K3,Ambiguous
P60484,Ambiguous
P10586,Ambiguous
Q8N142,Ambiguous
Q9BZE2,Ambiguous
Q8TBN0,Ambiguous
Q7Z5L2,Ambiguous
Q6IQ22,Ambiguous
Q969Q5,Ambiguous
Q13636,Ambiguous
Q15286,Ambiguous
O95716,Ambiguous
Q96QF0,Ambiguous
P20338,Ambiguous
P20340,Ambiguous
Q92930,Ambiguous
P29373,Ambiguous
O75943,Ambiguous
Q99638,Ambiguous
Q15283,Ambiguous
Q14644,Ambiguous
Q9UL26,Ambiguous
Q14964,Ambiguous
Q5R372,Ambiguous
P98179,Ambiguous
Q6VN20,Ambiguous
Q92804,Ambiguous
P53805,Ambiguous
Q9UKA8,Ambiguous
P18754,Ambiguous
P46063,Ambiguous
Q9BWE0,Ambiguous
Q9P2R6,Ambiguous
P35244,Ambiguous
Q8TAC1,Ambiguous
O14593,Ambiguous
O15211,Ambiguous
O43665,Ambiguous
Q13017,Ambiguous
Q68EM7,Ambiguous
Q6ZUM4,Ambiguous
Q9NRY4,Ambiguous
P84095,Ambiguous
Q8TCX5,Ambiguous
Q4ADV7,Ambiguous
Q6NUQ1,Ambiguous
O43353,Ambiguous
Q5EBL4,Ambiguous
Q7LG56,Ambiguous
P05387,Ambiguous
Q96DB5,Ambiguous
Q96E14,Ambiguous
Q8ND24,Ambiguous
Q5VTB9,Ambiguous
Q96BH1,Ambiguous
Q13905,Ambiguous
Q92834,Ambiguous
O95059,Ambiguous
Q9H633,Ambiguous
O95707,Ambiguous
P78345,Ambiguous
P62847,Ambiguous
P09234,Ambiguous
P57060,Ambiguous
P28702,Ambiguous
Q8N1F8,Ambiguous
Q9Y2H2,Ambiguous
A6NKF1,Ambiguous
Q9NZJ4,Ambiguous
Q5K651,Ambiguous
Q96I15,Ambiguous
P55809,Ambiguous
Q9HCN8,Ambiguous
P31040,Ambiguous
Q8IZQ5,Ambiguous
Q9BVL4,Ambiguous
P58004,Ambiguous
Q9UPS6,Ambiguous
Q86TU7,Ambiguous
Q15428,Ambiguous
Q86XK3,Ambiguous
Q86YV5,Ambiguous
Q9H299,Ambiguous
Q9UHJ6,Ambiguous
Q9BRV8,Ambiguous
Q9H173,Ambiguous
O75182,Ambiguous
Q96FS4,Ambiguous
O15304,Ambiguous
Q9UIU6,Ambiguous
Q9Y3B1,Ambiguous
Q14683,Ambiguous
Q9UQE7,Ambiguous
Q8TEV9,Ambiguous
Q96KF7,Ambiguous
Q92922,Ambiguous
Q8TAQ2,Ambiguous
Q53HV7,Ambiguous
Q8IYR2,Ambiguous
Q5VWJ9,Ambiguous
P08047,Ambiguous
Q6RVD6,Ambiguous
A1X283,Ambiguous
Q96EA4,Ambiguous
Q9NYA1,Ambiguous
Q9Y657,Ambiguous
Q08AE8,Ambiguous
Q99611,Ambiguous
P63272,Ambiguous
Q96JI7,Ambiguous
Q13813,Ambiguous
O15020,Ambiguous
Q9UGK8,Ambiguous
Q05519,Ambiguous
Q9BYN0,Ambiguous
Q9Y2H1,Ambiguous
O94864,Ambiguous
Q9Y3M8,Ambiguous
P42229,Ambiguous
Q96DR4,Ambiguous
O00506,Ambiguous
Q6ZWJ1,Ambiguous
Q5T5C0,Ambiguous
Q8WUJ0,Ambiguous
Q9UMX1,Ambiguous
P55854,Ambiguous
Q8NF91,Ambiguous
O76070,Ambiguous
Q7Z422,Ambiguous
Q99576,Ambiguous
Q96EM0,Ambiguous
Q9BSH4,Ambiguous
Q12962,Ambiguous
Q15544,Ambiguous
Q7Z7C8,Ambiguous
Q7L7X3,Ambiguous
Q17R31,Ambiguous
P10636,Ambiguous
Q8WUA7,Ambiguous
Q71U36,Ambiguous
Q3MII6,Ambiguous
Q86TI0,Ambiguous
O95759,Ambiguous
Q96EI5,Ambiguous
Q7Z6L1,Ambiguous
O15040,Ambiguous
P52655,Ambiguous
Q92664,Ambiguous
Q92994,Ambiguous
Q96CG3,Ambiguous
Q9BVW5,Ambiguous
Q9Y4G6,Ambiguous
Q8TBZ6,Ambiguous
Q5TGY1,Ambiguous
P82094,Ambiguous
Q13470,Ambiguous
Q96HA7,Ambiguous
Q12888,Ambiguous
P48553,Ambiguous
P0DI82,Ambiguous
Q9UL33,Ambiguous
Q86SZ2,Ambiguous
Q9H3S4,Ambiguous
Q96Q05,Ambiguous
Q9Y4K3,Ambiguous
Q12931,Ambiguous
O14717,Ambiguous
Q96F44,Ambiguous
Q14258,Ambiguous
O00635,Ambiguous
Q96DX7,Ambiguous
Q7Z4G4,Ambiguous
Q9NUP7,Ambiguous
Q86TN4,Ambiguous
Q86VQ6,Ambiguous
Q2TAM9,Ambiguous
Q9NUQ3,Ambiguous
P62328,Ambiguous
Q9NUW8,Ambiguous
A2RUC4,Ambiguous
Q9BZF9,Ambiguous
Q3KQV9,Ambiguous
P51965,Ambiguous
Q969M7,Ambiguous
Q7Z3V4,Ambiguous
Q14139,Ambiguous
Q14694,Ambiguous
Q9NVE5,Ambiguous
Q86UV5,Ambiguous
Q9NRR5,Ambiguous
P68543,Ambiguous
Q6PHR2,Ambiguous
Q9UPW8,Ambiguous
O14795,Ambiguous
P13051,Ambiguous
P46939,Ambiguous
Q14135,Ambiguous
O60504,Ambiguous
O43314,Ambiguous
Q9P253,Ambiguous
Q86VN1,Ambiguous
Q8N3P4,Ambiguous
O00401,Ambiguous
Q8IZQ1,Ambiguous
Q9HAD4,Ambiguous
Q8TF30,Ambiguous
Q8TF74,Ambiguous
Q13426,Ambiguous
Q8IY57,Ambiguous
O96006,Ambiguous
Q8TCF1,Ambiguous
Q9H8U3,Ambiguous
O95405,Ambiguous
Q96DA0,Ambiguous
Q96EF9,Ambiguous
Q9H4I2,Ambiguous
Q5SVZ6,Ambiguous
Q9UQR1,Ambiguous
O43670,Ambiguous
Q9NRM2,Ambiguous
Q96PM5,Ambiguous
Q96B54,Ambiguous
Q6DD87,Ambiguous
Q19AV6,Ambiguous
Q9H900,Ambiguous
P61026,Non-binder
P35237,Non-binder
P04080,Non-binder
P15311,Non-binder
Q9UKK9,Non-binder
P22102,Non-binder
P37837,Non-binder
O15067,Non-binder
Q14203,Non-binder
P52564,Non-binder
Q9NY33,Non-binder
Q15003,Non-binder
P34932,Non-binder
Q9NRV9,Non-binder
P04406,Non-binder
O76003,Non-binder
P18669,Non-binder
Q9UGI8,Non-binder
Q04446,Non-binder
O95376,Non-binder
P62937,Non-binder
Q9NRN7,Non-binder
P14324,Non-binder
P31949,Non-binder
P49736,Non-binder
P30740,Non-binder
Q9UHD1,Non-binder
P51692,Non-binder
P43246,Non-binder
P20073,Non-binder
Q8WZA9,Non-binder
Q00169,Non-binder
Q9Y263,Non-binder
P42330,Non-binder
P36915,Non-binder
P49720,Non-binder
P23919,Non-binder
Q8TB03,Non-binder
O75391,Non-binder
P09429,Non-binder
P17655,Non-binder
P48739,Non-binder
O43399,Non-binder
P26358,Non-binder
Q86VP6,Non-binder
P15559,Non-binder
Q13057,Non-binder
Q9Y535,Non-binder
P40261,Non-binder
P18206,Non-binder
Q8NB16,Non-binder
P12429,Non-binder
Q6FI81,Non-binder
O60547,Non-binder
P12004,Non-binder
O95757,Non-binder
Q9H1E3,Non-binder
P46109,Non-binder
P38646,Non-binder
Q96DG6,Non-binder
O95336,Non-binder
Q01518,Non-binder
P22314,Non-binder
P52209,Non-binder
P21333,Non-binder
P41250,Non-binder
Q99829,Non-binder
Q08J23,Non-binder
Q9GZP4,Non-binder
P07741,Non-binder
P52895,Non-binder
P12270,Non-binder
O00299,Non-binder
O43776,Non-binder
Q9NS87,Non-binder
P48637,Non-binder
P31153,Non-binder
Q96GK7,Non-binder
P49321,Non-binder
Q06323,Non-binder
O95361,Non-binder
Q5TDH0,Non-binder
P56192,Non-binder
P68036,Non-binder
P12081,Non-binder
Q9NR19,Non-binder
P61204,Non-binder
P30086,Non-binder
O60271,Non-binder
P60660,Non-binder
P31939,Non-binder
Q96IU4,Non-binder
P09104,Non-binder
P52565,Non-binder
P54577,Non-binder
P30101,Non-binder
P48507,Non-binder
Q32MZ4,Non-binder
O95155,Non-binder
Q86TI2,Non-binder
Q5VYK3,Non-binder
P41252,Non-binder
Q86XA9,Non-binder
P32119,Non-binder
O95861,Non-binder
Q9Y490,Non-binder
Q9Y617,Non-binder
P08133,Non-binder
Q96CN7,Non-binder
P06744,Non-binder
P40925,Non-binder
Q00796,Non-binder
Q9Y4L1,Non-binder
Q9NR45,Non-binder
P13797,Non-binder
Q15181,Non-binder
Q8IYS1,Non-binder
Q14914,Non-binder
P14550,Non-binder
Q9H3K6,Non-binder
P15374,Non-binder
P78330,Non-binder
Q9NQR4,Non-binder
Q9UL46,Non-binder
P51570,Non-binder
P00492,Non-binder
P04818,Non-binder
P55263,Non-binder
Q3LXA3,Non-binder
O95394,Non-binder
O14732,Non-binder
P30085,Non-binder
O00273,Non-binder
O43396,Non-binder
P49366,Non-binder
P50395,Non-binder
O75369,Non-binder
Q9BV20,Non-binder
P39687,Non-binder
P48163,Non-binder
P07814,Non-binder
P60174,Non-binder
P22392,Non-binder
Q99497,Non-binder
Q92598,Non-binder
O00625,Non-binder
Q9Y3P9,Non-binder
P30041,Non-binder
P19623,Non-binder
Q14166,Non-binder
P07737,Non-binder
P12277,Non-binder
P30044,Non-binder
O43488,Non-binder
Q96C86,Non-binder
Q16658,Non-binder
Q04828,Non-binder
P54136,Non-binder
O75874,Non-binder
Q14019,Non-binder
Q9NUQ9,Non-binder
Q04760,Non-binder
Q9HC38,Non-binder
P08758,Non-binder
P78417,Non-binder
Q96FW1,Non-binder
P00491,Non-binder
P21266,Non-binder
P36871,Non-binder
P38936,Non-binder
Q8N108,Non-binder
P11171,Non-binder
Q9H0P0,Non-binder
Q969T7,Non-binder
P49902,Non-binder
P36639,Non-binder
Q86V21,Non-binder
Q9Y478,Non-binder
Q9BTE6,Non-binder
P17174,Non-binder
P00505,Non-binder
Q12979,Non-binder
Q9BR61,Non-binder
P07108,Non-binder
Q9NPJ3,Non-binder
P21399,Non-binder
Q86TX2,Non-binder
Q562R1,Non-binder
P12814,Non-binder
O43707,Non-binder
Q03154,Non-binder
P00813,Non-binder
P11766,Non-binder
Q96SZ5,Non-binder
O95994,Non-binder
Q12904,Non-binder
Q02952,Non-binder
P31749,Non-binder
P00352,Non-binder
P49419,Non-binder
P49189,Non-binder
P15121,Non-binder
Q9NXW9,Non-binder
Q8IY45,Non-binder
Q9H4A4,Non-binder
P28838,Non-binder
Q92688,Non-binder
Q9BTT0,Non-binder
Q9P2R3,Non-binder
Q8IV38,Non-binder
Q9NVM4,Non-binder
P09525,Non-binder
P50583,Non-binder
O14727,Non-binder
Q8IWT0,Non-binder
P84085,Non-binder
P62330,Non-binder
Q9NX46,Non-binder
P40616,Non-binder
Q9NXU5,Non-binder
P36404,Non-binder
P36405,Non-binder
Q9H0F7,Non-binder
P04424,Non-binder
P18440,Non-binder
Q96DX5,Non-binder
Q9Y294,Non-binder
Q9NVP2,Non-binder
Q7L266,Non-binder
O95671,Non-binder
Q9Y4P1,Non-binder
Q8NBF6,Non-binder
Q5VT79,Non-binder
P61769,Non-binder
Q99933,Non-binder
P80723,Non-binder
Q07812,Non-binder
P56945,Non-binder
Q9BUT1,Non-binder
P55957,Non-binder
Q9Y6D6,Non-binder
Q9Y6D5,Non-binder
O00499,Non-binder
P30043,Non-binder
Q5VTR2,Non-binder
O75150,Non-binder
Q5VW32,Non-binder
Q96K17,Non-binder
O14981,Non-binder
P41223,Non-binder
Q5T0F9,Non-binder
Q9Y5P4,Non-binder
Q9NWV4,Non-binder
Q13137,Non-binder
Q8N1Q1,Non-binder
P62158,Non-binder
P27797,Non-binder
P40123,Non-binder
P29466,Non-binder
P42574,Non-binder
P55212,Non-binder
Q14790,Non-binder
P55211,Non-binder
P07858,Non-binder
Q9UBR2,Non-binder
Q4VC31,Non-binder
Q7Z6B0,Non-binder
O95273,Non-binder
O14618,Non-binder
Q9NWY4,Non-binder
P42771,Non-binder
P32320,Non-binder
Q00534,Non-binder
Q49AR2,Non-binder
Q9H993,Non-binder
P32929,Non-binder
P61604,Non-binder
Q8WUX2,Non-binder
Q7LBR1,Non-binder
Q9Y3E7,Non-binder
Q9NRG0,Non-binder
Q9Y2V2,Non-binder
Q8WUH1,Non-binder
Q8N4J0,Non-binder
Q5T6V5,Non-binder
Q9BUH6,Non-binder
O75390,Non-binder
Q9H0W9,Non-binder
P61024,Non-binder
Q8N999,Non-binder
Q9Y696,Non-binder
Q96KP4,Non-binder
Q9Y2B0,Non-binder
Q96CD2,Non-binder
Q9Y281,Non-binder
Q86X83,Non-binder
Q9GZQ3,Non-binder
Q86VX2,Non-binder
Q9P000,Non-binder
P21964,Non-binder
Q96S19,Non-binder
Q9P2I0,Non-binder
Q5TA50,Non-binder
P78560,Non-binder
Q96SW2,Non-binder
P50238,Non-binder
P46108,Non-binder
Q8IUI8,Non-binder
Q969H8,Non-binder
Q13363,Non-binder
P56545,Non-binder
Q9Y5B0,Non-binder
Q9H467,Non-binder
Q93034,Non-binder
O60888,Non-binder
P99999,Non-binder
Q9NR28,Non-binder
P27707,Non-binder
Q96GG9,Non-binder
Q9BTE7,Non-binder
P32321,Non-binder
Q9BTE1,Non-binder
O00399,Non-binder
Q9H773,Non-binder
P06132,Non-binder
Q7Z4W1,Non-binder
O95865,Non-binder
P60981,Non-binder
Q6UWP2,Non-binder
Q9Y2H0,Non-binder
Q9NP97,Non-binder
P18858,Non-binder
Q9ULA0,Non-binder
Q9BU89,Non-binder
P30046,Non-binder
Q8NEU8,Non-binder
Q9BZG8,Non-binder
Q9BQC3,Non-binder
Q9H2P9,Non-binder
Q7L8W6,Non-binder
Q9NRF9,Non-binder
Q9NR33,Non-binder
Q12882,Non-binder
Q8TEA8,Non-binder
Q6P1R4,Non-binder
Q9BVJ7,Non-binder
Q9NX74,Non-binder
P51452,Non-binder
Q96G46,Non-binder
P33316,Non-binder
P63172,Non-binder
P51808,Non-binder
P00374,Non-binder
Q9H4G0,Non-binder
O43491,Non-binder
Q9NTX5,Non-binder
Q15075,Non-binder
Q05639,Non-binder
P49411,Non-binder
Q8N3D4,Non-binder
Q8N9N8,Non-binder
Q9HBU6,Non-binder
P13929,Non-binder
Q7L5Y1,Non-binder
Q9UHY7,Non-binder
P14625,Non-binder
Q96HE7,Non-binder
P30040,Non-binder
P23141,Non-binder
P10768,Non-binder
P13804,Non-binder
A6ZKI3,Non-binder
P23610,Non-binder
Q9H5X1,Non-binder
Q9BXW9,Non-binder
Q13158,Non-binder
Q9NVQ4,Non-binder
Q8NEZ5,Non-binder
Q9UKT5,Non-binder
Q9Y3I1,Non-binder
Q13630,Non-binder
Q9NWM8,Non-binder
P26885,Non-binder
P49354,Non-binder
P15407,Non-binder
O14772,Non-binder
Q9C0B1,Non-binder
Q8N0W3,Non-binder
P07954,Non-binder
Q06546,Non-binder
Q14376,Non-binder
Q01415,Non-binder
Q96C23,Non-binder
P07902,Non-binder
A6NHX0,Non-binder
P32456,Non-binder
P31150,Non-binder
Q9H840,Non-binder
Q9NQX3,Non-binder
P30047,Non-binder
P0CL80,Non-binder
O95749,Non-binder
Q8TF65,Non-binder
Q9Y223,Non-binder
P32189,Non-binder
Q9NZD2,Non-binder
P14314,Non-binder
Q9Y5P6,Non-binder
Q9P2T1,Non-binder
Q96EK6,Non-binder
P46926,Non-binder
Q8TDQ7,Non-binder
Q13439,Non-binder
Q8N335,Non-binder
P07203,Non-binder
P36969,Non-binder
Q4V328,Non-binder
Q9UBQ7,Non-binder
P57764,Non-binder
P48506,Non-binder
P00390,Non-binder
Q9P0R6,Non-binder
P30711,Non-binder
P0CG30,Non-binder
O00178,Non-binder
Q9Y2T3,Non-binder
Q71UI9,Non-binder
O14929,Non-binder
P42858,Non-binder
Q9BY41,Non-binder
Q7Z4H3,Non-binder
P51858,Non-binder
Q08623,Non-binder
Q9H0R4,Non-binder
Q7Z4Q2,Non-binder
Q6AI08,Non-binder
Q9Y5Z4,Non-binder
P13716,Non-binder
P08397,Non-binder
P10746,Non-binder
Q9Y5N5,Non-binder
Q5GLZ8,Non-binder
P07686,Non-binder
Q93099,Non-binder
P49773,Non-binder
Q01581,Non-binder
P26583,Non-binder
O15347,Non-binder
P82970,Non-binder
P50135,Non-binder
Q00613,Non-binder
P54652,Non-binder
O43719,Non-binder
Q2TAA2,Non-binder
Q9H496,Non-binder
Q9Y547,Non-binder
Q9BW83,Non-binder
Q14116,Non-binder
Q9H0C8,Non-binder
P20839,Non-binder
P29218,Non-binder
P49441,Non-binder
P41236,Non-binder
Q9H2U2,Non-binder
Q86U28,Non-binder
P05161,Non-binder
Q96AZ6,Non-binder
Q9BY32,Non-binder
Q6NYC1,Non-binder
Q96AT1,Non-binder
Q9P260,Non-binder
P00568,Non-binder
Q16773,Non-binder
Q6YP21,Non-binder
Q9NYS0,Non-binder
Q16774,Non-binder
Q03426,Non-binder
Q9NSK0,Non-binder
P46020,Non-binder
Q93100,Non-binder
P17252,Non-binder
Q05655,Non-binder
P23443,Non-binder
Q96EK9,Non-binder
Q53H82,Non-binder
Q9NS86,Non-binder
Q9UIC8,Non-binder
Q3ZCW2,Non-binder
Q9H008,Non-binder
P09960,Non-binder
O75608,Non-binder
O95372,Non-binder
Q5VWZ2,Non-binder
Q8WZA0,Non-binder
O43708,Non-binder
Q9BQ69,Non-binder
Q9H063,Non-binder
P55145,Non-binder
Q16644,Non-binder
Q9NZL9,Non-binder
O43324,Non-binder
Q6VMQ6,Non-binder
Q13257,Non-binder
P40926,Non-binder
Q9BUE0,Non-binder
Q9H944,Non-binder
Q9Y316,Non-binder
Q14696,Non-binder
Q8N4P3,Non-binder
Q86W50,Non-binder
Q9NRN9,Non-binder
Q86V88,Non-binder
P16455,Non-binder
P14174,Non-binder
P45984,Non-binder
Q16539,Non-binder
Q8TD08,Non-binder
Q70IA6,Non-binder
Q96BX8,Non-binder
O96007,Non-binder
O95396,Non-binder
P46734,Non-binder
P45985,Non-binder
P34949,Non-binder
Q9UKD2,Non-binder
Q9UJ68,Non-binder
P47224,Non-binder
Q8WXB1,Non-binder
Q9H867,Non-binder
O94776,Non-binder
Q13126,Non-binder
Q96GX9,Non-binder
Q9BV57,Non-binder
P58546,Non-binder
Q9HB07,Non-binder
Q15746,Non-binder
O00159,Non-binder
Q13459,Non-binder
Q9BXJ9,Non-binder
Q9GZZ1,Non-binder
Q9BWU0,Non-binder
O95544,Non-binder
Q9Y303,Non-binder
Q9UJ70,Non-binder
Q8TBE9,Non-binder
Q9H6Q4,Non-binder
Q93015,Non-binder
Q14919,Non-binder
P16333,Non-binder
P15531,Non-binder
Q92597,Non-binder
Q9BYT8,Non-binder
P25208,Non-binder
Q8NBF2,Non-binder
O14745,Non-binder
Q86X76,Non-binder
Q8IW45,Non-binder
Q8NCW5,Non-binder
O60936,Non-binder
P16083,Non-binder
Q86WQ0,Non-binder
P46459,Non-binder
Q8TCD5,Non-binder
Q5TFE4,Non-binder
P61970,Non-binder
Q9BSD7,Non-binder
Q9Y5A7,Non-binder
P53384,Non-binder
Q9NV35,Non-binder
Q8WVJ2,Non-binder
Q8IVD9,Non-binder
O95989,Non-binder
Q9NZJ9,Non-binder
Q9BW91,Non-binder
Q8IWE2,Non-binder
Q9Y530,Non-binder
Q9BQT8,Non-binder
Q9H488,Non-binder
O60502,Non-binder
Q8N543,Non-binder
Q9NTK5,Non-binder
O14841,Non-binder
Q96CV9,Non-binder
Q9Y3B8,Non-binder
P22059,Non-binder
Q9NPF4,Non-binder
Q5VVQ6,Non-binder
Q8WZ82,Non-binder
P68402,Non-binder
Q15102,Non-binder
Q9H999,Non-binder
P51003,Non-binder
O43252,Non-binder
O95340,Non-binder
Q99447,Non-binder
O14737,Non-binder
P54750,Non-binder
P13667,Non-binder
Q15084,Non-binder
O00764,Non-binder
Q13951,Non-binder
P12955,Non-binder
O60925,Non-binder
Q9UHV9,Non-binder
Q9NQP4,Non-binder
Q99471,Non-binder
O15212,Non-binder
Q6PCE3,Non-binder
A6NDG6,Non-binder
Q9NXJ5,Non-binder
Q92696,Non-binder
P53609,Non-binder
Q8IZ21,Non-binder
P15735,Non-binder
Q9NRX4,Non-binder
Q8TBX8,Non-binder
Q13526,Non-binder
Q9H8W4,Non-binder
Q16513,Non-binder
Q01970,Non-binder
Q96GD0,Non-binder
Q14651,Non-binder
P07738,Non-binder
O15305,Non-binder
Q6XQN6,Non-binder
Q9NVS9,Non-binder
Q969H6,Non-binder
O75817,Non-binder
Q96C90,Non-binder
Q15435,Non-binder
Q12972,Non-binder
O60927,Non-binder
P24666,Non-binder
P48147,Non-binder
Q9HAB8,Non-binder
Q08752,Non-binder
Q9Y3C6,Non-binder
P49593,Non-binder
Q9NRG1,Non-binder
O94903,Non-binder
Q92620,Non-binder
Q96S44,Non-binder
Q96M27,Non-binder
Q86TP1,Non-binder
P55786,Non-binder
P28070,Non-binder
P28062,Non-binder
P28065,Non-binder
O75832,Non-binder
Q14691,Non-binder
Q9Y248,Non-binder
Q14997,Non-binder
Q969U7,Non-binder
Q9BT73,Non-binder
Q5JS54,Non-binder
Q96BW5,Non-binder
Q8N8N7,Non-binder
P06454,Non-binder
Q15257,Non-binder
Q03393,Non-binder
Q6GMV3,Non-binder
P30566,Non-binder
P30520,Non-binder
P11216,Non-binder
Q8WU10,Non-binder
Q08257,Non-binder
O95825,Non-binder
Q53FA7,Non-binder
Q2TAL8,Non-binder
Q9H974,Non-binder
O15541,Non-binder
P62820,Non-binder
Q9UL25,Non-binder
P51157,Non-binder
Q13637,Non-binder
P61020,Non-binder
P51151,Non-binder
Q9H5N1,Non-binder
Q7Z6M1,Non-binder
Q9UJ41,Non-binder
P24386,Non-binder
P26374,Non-binder
P20936,Non-binder
P01111,Non-binder
Q15042,Non-binder
O75884,Non-binder
B7ZAP0,Non-binder
Q9Y5S9,Non-binder
P62877,Non-binder
Q9UBF6,Non-binder
Q15382,Non-binder
P08134,Non-binder
Q969G6,Non-binder
P05386,Non-binder
Q8WVD5,Non-binder
Q9P0P0,Non-binder
Q9UBS8,Non-binder
Q8TDP1,Non-binder
Q13464,Non-binder
Q9Y2S0,Non-binder
Q9H1D9,Non-binder
O15318,Non-binder
Q96AT9,Non-binder
P49247,Non-binder
Q9BUL9,Non-binder
Q7L523,Non-binder
Q9HB90,Non-binder
Q9Y2L1,Non-binder
P62854,Non-binder
Q15404,Non-binder
O00442,Non-binder
Q96T51,Non-binder
Q8IZ73,Non-binder
P62304,Non-binder
P62308,Non-binder
P25815,Non-binder
P26447,Non-binder
P06703,Non-binder
Q99584,Non-binder
Q96FQ6,Non-binder
Q96ER3,Non-binder
Q9UBE0,Non-binder
Q9UBT2,Non-binder
Q9Y6B6,Non-binder
P82979,Non-binder
Q96F10,Non-binder
Q9Y3A5,Non-binder
Q13228,Non-binder
Q12765,Non-binder
Q96FV2,Non-binder
Q0VDG4,Non-binder
O00560,Non-binder
Q96GA7,Non-binder
P57772,Non-binder
Q8WW01,Non-binder
Q8NCE0,Non-binder
Q9BSV6,Non-binder
Q7Z6J9,Non-binder
Q8WTS6,Non-binder
Q9Y3B4,Non-binder
Q96B97,Non-binder
O75368,Non-binder
A0MZ66,Non-binder
Q96EB6,Non-binder
Q9BRT9,Non-binder
Q9NRG4,Non-binder
Q6GMV2,Non-binder
P54920,Non-binder
Q99747,Non-binder
Q96H20,Non-binder
Q9UMY4,Non-binder
Q9NRS6,Non-binder
O60493,Non-binder
P00441,Non-binder
P04179,Non-binder
P30626,Non-binder
Q07889,Non-binder
P50452,Non-binder
Q9HBM1,Non-binder
P35270,Non-binder
P49903,Non-binder
P52788,Non-binder
Q9HD15,Non-binder
Q9NP77,Non-binder
P50224,Non-binder
O95630,Non-binder
Q8NBJ7,Non-binder
P49589,Non-binder
P14868,Non-binder
Q9P2J5,Non-binder
Q92797,Non-binder
Q15714,Non-binder
O75157,Non-binder
Q9Y3Q8,Non-binder
Q9Y6A5,Non-binder
Q6P1N9,Non-binder
Q9NVG8,Non-binder
Q9ULP9,Non-binder
Q66K14,Non-binder
O75347,Non-binder
Q99426,Non-binder
Q9BTW9,Non-binder
Q15813,Non-binder
Q9BYX2,Non-binder
P62380,Non-binder
P53999,Non-binder
P13693,Non-binder
Q9NYB0,Non-binder
P21980,Non-binder
Q9NWX6,Non-binder
P52888,Non-binder
P25325,Non-binder
Q9BU02,Non-binder
Q9NXG2,Non-binder
Q9UNS1,Non-binder
Q8WUH6,Non-binder
Q12974,Non-binder
P55327,Non-binder
P51580,Non-binder
P29144,Non-binder
Q9Y5R8,Non-binder
Q9Y296,Non-binder
Q9Y3C4,Non-binder
Q12933,Non-binder
Q96LD4,Non-binder
Q15643,Non-binder
Q96FX7,Non-binder
Q9UBP6,Non-binder
Q96Q11,Non-binder
Q15631,Non-binder
Q99598,Non-binder
Q8N584,Non-binder
Q6PID6,Non-binder
Q5R3I4,Non-binder
O14907,Non-binder
O95881,Non-binder
Q9BRA2,Non-binder
Q9NX01,Non-binder
Q8NBS9,Non-binder
P19971,Non-binder
Q6IPR3,Non-binder
